[2024-08-22 09:33:23,158][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-08-22-09-33-23-158290.log
[2024-08-22 09:33:23,161][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-23-159966.html
[2024-08-22 09:33:29,851][basic_search][INFO][generic_smbo.py:310] Iter 103, objectives: [4316896.0].
[2024-08-22 09:33:29,909][basic_search][INFO][generic_smbo.py:310] Iter 104, objectives: [3910354.0].
[2024-08-22 09:33:29,967][basic_search][INFO][generic_smbo.py:310] Iter 105, objectives: [3979280.0].
[2024-08-22 09:33:30,025][basic_search][INFO][generic_smbo.py:310] Iter 106, objectives: [3932591.0].
[2024-08-22 09:33:30,084][basic_search][INFO][generic_smbo.py:310] Iter 107, objectives: [4000220.0].
[2024-08-22 09:33:30,142][basic_search][INFO][generic_smbo.py:310] Iter 108, objectives: [3720102.0].
[2024-08-22 09:33:30,201][basic_search][INFO][generic_smbo.py:310] Iter 109, objectives: [3750241.0].
[2024-08-22 09:33:30,260][basic_search][INFO][generic_smbo.py:310] Iter 110, objectives: [3847545.0].
[2024-08-22 09:33:30,320][basic_search][INFO][generic_smbo.py:310] Iter 111, objectives: [3947612.0].
[2024-08-22 09:33:30,371][basic_search][INFO][generic_smbo.py:310] Iter 112, objectives: [3201445.0].
[2024-08-22 09:33:30,429][basic_search][INFO][generic_smbo.py:310] Iter 113, objectives: [3790001.0].
[2024-08-22 09:33:30,489][basic_search][INFO][generic_smbo.py:310] Iter 114, objectives: [3978178.0].
[2024-08-22 09:33:30,547][basic_search][INFO][generic_smbo.py:310] Iter 115, objectives: [3638536.0].
[2024-08-22 09:33:30,606][basic_search][INFO][generic_smbo.py:310] Iter 116, objectives: [3908460.0].
[2024-08-22 09:33:30,671][basic_search][INFO][generic_smbo.py:310] Iter 117, objectives: [4267503.0].
[2024-08-22 09:33:30,736][basic_search][INFO][generic_smbo.py:310] Iter 118, objectives: [3932704.0].
[2024-08-22 09:33:30,798][basic_search][INFO][generic_smbo.py:310] Iter 119, objectives: [4036881.0].
[2024-08-22 09:33:30,862][basic_search][INFO][generic_smbo.py:310] Iter 120, objectives: [4236206.0].
[2024-08-22 09:33:30,924][basic_search][INFO][generic_smbo.py:310] Iter 121, objectives: [4062589.0].
[2024-08-22 09:33:30,985][basic_search][INFO][generic_smbo.py:310] Iter 122, objectives: [3891195.0].
[2024-08-22 09:33:31,052][basic_search][INFO][generic_smbo.py:310] Iter 123, objectives: [4439775.0].
[2024-08-22 09:33:31,116][basic_search][INFO][generic_smbo.py:310] Iter 124, objectives: [4152121.0].
[2024-08-22 09:33:31,177][basic_search][INFO][generic_smbo.py:310] Iter 125, objectives: [3844127.0].
[2024-08-22 09:33:31,242][basic_search][INFO][generic_smbo.py:310] Iter 126, objectives: [4114969.0].
[2024-08-22 09:33:31,304][basic_search][INFO][generic_smbo.py:310] Iter 127, objectives: [3890924.0].
[2024-08-22 09:33:31,372][basic_search][INFO][generic_smbo.py:310] Iter 128, objectives: [4399656.0].
[2024-08-22 09:33:31,436][basic_search][INFO][generic_smbo.py:310] Iter 129, objectives: [4023887.0].
[2024-08-22 09:33:31,495][basic_search][INFO][generic_smbo.py:310] Iter 130, objectives: [3575288.0].
[2024-08-22 09:33:31,555][basic_search][INFO][generic_smbo.py:310] Iter 131, objectives: [3592484.0].
[2024-08-22 09:33:31,618][basic_search][INFO][generic_smbo.py:310] Iter 132, objectives: [3885265.0].
[2024-08-22 09:33:31,679][basic_search][INFO][generic_smbo.py:310] Iter 133, objectives: [3736958.0].
